bookID,title,authors,average_rating,isbn,isbn13,language_code,# num_pages,ratings_count,text_reviews_count,
2560,Willem de Kooning: Late Paintings,by Julie Sylvester-David Sylvester,5,382960226X,9.78383E+12,eng,83,1,0,
2567,Aké: The Years of Childhood,by Wole Soyinka,3.92,679725407,9.78068E+12,eng,230,1213,85,
2568,The Interpreters,by Wole Soyinka,3.56,233989781,9.78023E+12,eng,251,320,26,
2570,The Lion and the Jewel,by Wole Soyinka,3.8,199110832,9.7802E+12,eng,65,1103,75,
2581,Ready for Anything: 52 Productivity Principles for Getting Things Done,by David    Allen,3.83,143034545,9.78014E+12,eng,165,3541,175,
2584,The Facilitator's Book of Questions: Tools for Looking Together at Student and Teacher Work,by David  Allen-Tina Blythe-Gene Thompson-Grove,3.96,807744689,9.78081E+12,eng,142,52,4,
2586,Sun Tzu and the Art of Business: Six Strategic Principles for Managers,by Sun Tzu-Mark McNeilly,3.84,195137892,9.7802E+12,eng,272,120,13,
2595,Marketing Warfare,by Al Ries-Jack Trout,4.1,71460829,9.78007E+12,eng,216,870,53,
2612,The Tipping Point: How Little Things Can Make a Big Difference,by Malcolm Gladwell,3.95,316346624,9.78032E+12,eng,301,589855,11431,
2613,Unleashing the Ideavirus: Stop Marketing AT People! Turn Your Ideas into Epidemics by Helping Your Customers Do the Marketing thing for You.,by Seth Godin-Malcolm Gladwell,3.99,786887176,9.78079E+12,en-US,234,4504,80,
2615,The Innovator's Dilemma: The Revolutionary Book that Will Change the Way You Do Business,by Clayton M. Christensen,3.99,60521996,9.78006E+12,eng,286,28568,693,
2619,Great Expectations,by Charles Dickens-David Trotter-Charlotte Mitchell,3.76,141439564,9.78014E+12,eng,512,13291,646,
2623,Great Expectations,by Charles Dickens-Marisa Sestino,3.76,192833596,9.78019E+12,eng,505,523790,10337,
2626,Great Expectations: Authoritative Text  Backgrounds  Contexts  Criticism,by Charles Dickens-Edgar Rosenberg,3.76,393960692,9.78039E+12,eng,776,563,39,
2646,Luther and Erasmus: Free Will and Salvation (Library of Christian Classics),by Erasmus-Martin Luther-Philip S. Watson-E. Gordon Rupp,3.81,664241581,9.78066E+12,eng,364,107,13,
2654,To Kill a Mockingbird,by Harper Lee,4.27,60935464,9.78006E+12,eng,323,10005,877,
2655,To Kill a Mockingbird,by Harper Lee-Sissy Spacek,4.27,60888695,9.78006E+12,eng,11,653,176,
2660,To Kill a Mockingbird (To Kill A Mockingbird #1),by Harper Lee,4.27,044508376X,9.78045E+12,eng,281,6334,805,
2661,To Kill a Mockingbird,by Harper Lee,4.27,61205699,9.78006E+12,en-US,323,250,32,
2666,The Bonfire of the Vanities,by Tom Wolfe,3.84,553381342,9.78055E+12,eng,690,57301,2105,
2673,The Wealthy Barber: Everyone's Common-Sense Guide to Becoming Financially Independent,by David H. Chilton,4.02,761501665,9.78076E+12,eng,199,61,4,
2674,The Wealthy Barber: The Common Sense Guide to Successful Financial Planning,by David Chilton,4.02,773762167,9.78097E+12,eng,197,6837,304,
2677,A Modest Proposal and Other Satirical Works,by Jonathan Swift,4.05,486287599,9.78049E+12,eng,64,13312,137,
2678,Gulliver's Travels / A Modest Proposal,by Jonathan Swift-Jesse Gale,3.79,1416500391,9.78142E+12,eng,416,2001,52,
2680,Empire 2.0: A Modest Proposal for a United States of the West (Terra Nova),by Xavier de C.-Xavier de C.-Joseph Rowe,4.75,1556434952,9.78156E+12,eng,144,4,0,
2685,Collected Travel Writings: The Continent: A Little Tour in France / Italian Hours / Other Travels,by Henry James-Richard Howard,3.7,940450771,9.78094E+12,eng,868,27,1,
2686,The Bostonians,by Henry James-R.D. Gooder,3.59,192834428,9.78019E+12,eng,504,84,12,
2687,Novels 1896–1899: The Other House / The Spoils of Poynton / What Maisie Knew / The Awkward Age,by Henry James-Myra Jehlen,4.25,1931082308,9.78193E+12,eng,1035,24,5,
2688,Novels 1901–1902: The Sacred Fount / The Wings of the Dove,by Henry James-Leo Bersani,4.68,193108288X,9.78193E+12,eng,713,25,3,
